[2017-06-19 22:13:30,264] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (36, 36).
[2017-06-19 22:13:30,264] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (36, 36).
[2017-06-19 22:13:30,906] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:30,906] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:31,057] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (37, 35).
[2017-06-19 22:13:31,057] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (37, 35).
[2017-06-19 22:13:31,133] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:31,133] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:32,977] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (32, 59).
[2017-06-19 22:13:32,977] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (32, 59).
[2017-06-19 22:13:33,379] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:33,379] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:34,209] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (25, 53).
[2017-06-19 22:13:34,209] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (25, 53).
[2017-06-19 22:13:34,299] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:34,299] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:45,601] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (40, 53).
[2017-06-19 22:13:45,601] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (40, 53).
[2017-06-19 22:13:45,777] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:45,777] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:47,929] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (43, 59).
